21:17:55.650 > # iq_dump pairs=2048 fs_hz=31250 att=0
21:17:55.650 > # format: i,q (signed int16)
21:17:56.283 > -258,-9
21:17:56.294 > -20,238
21:17:56.294 > 241,494
21:17:56.294 > 496,720
21:17:56.294 > 722,966
21:17:56.294 > 919,1062
21:17:56.294 > 1083,1202
21:17:56.294 > 1173,1244
21:17:56.294 > 1247,1267
21:17:56.294 > 1274,1258
21:17:56.294 > 1237,1168
21:17:56.294 > 1164,1075
21:17:56.294 > 1037,856
21:17:56.294 > 872,689
21:17:56.294 > 665,410
21:17:56.306 > 424,175
21:17:56.306 > 151,-87
21:17:56.306 > -89,-320
21:17:56.306 > -328,-555
21:17:56.306 > -584,-785
21:17:56.306 > -789,-952
21:17:56.306 > -964,-1148
21:17:56.306 > -1106,-1210
21:17:56.306 > -1215,-1291
21:17:56.306 > -1270,-1281
21:17:56.306 > -1289,-1244
21:17:56.306 > -1229,-1136
21:17:56.306 > -1118,-984
21:17:56.317 > -982,-788
21:17:56.317 > -789,-531
21:17:56.317 > -550,-333
21:17:56.317 > -299,-42
21:17:56.317 > -58,172
21:17:56.317 > 185,430
21:17:56.317 > 398,636
21:17:56.317 > 650,860
21:17:56.317 > 873,1035
21:17:56.317 > 1030,1157
21:17:56.317 > 1167,1291
21:17:56.317 > 1253,1265
21:17:56.317 > 1285,1292
21:17:56.328 > 1261,1190
21:17:56.328 > 1194,1092
21:17:56.328 > 1059,900
21:17:56.328 > 911,723
21:17:56.328 > 725,477
21:17:56.328 > 476,251
21:17:56.328 > 235,17
21:17:56.328 > -2,-272
21:17:56.328 > -250,-492
21:17:56.328 > -492,-748
21:17:56.328 > -722,-937
21:17:56.328 > -943,-1109
21:17:56.328 > -1080,-1205
21:17:56.328 > -1191,-1279
21:17:56.339 > -1283,-1310
21:17:56.339 > -1287,-1216
21:17:56.339 > -1233,-1180
21:17:56.339 > -1142,-1010
21:17:56.339 > -1010,-849
21:17:56.339 > -830,-627
21:17:56.339 > -631,-400
21:17:56.339 > -379,-122
21:17:56.339 > -123,108
21:17:56.339 > 108,350
21:17:56.339 > 357,615
21:17:56.339 > 610,805
21:17:56.350 > 830,1013
21:17:56.350 > 1003,1153
21:17:56.350 > 1142,1232
21:17:56.350 > 1219,1256
21:17:56.350 > 1268,1284
21:17:56.350 > 1261,1213
21:17:56.350 > 1196,1117
21:17:56.350 > 1093,987
21:17:56.350 > 960,748
21:17:56.350 > 786,528
21:17:56.350 > 546,303
21:17:56.350 > 300,46
21:17:56.350 > 37,-208
21:17:56.350 > -198,-447
21:17:56.350 > -430,-674
21:17:56.361 > -680,-914
21:17:56.361 > -884,-1028
21:17:56.361 > -1046,-1218
21:17:56.361 > -1171,-1271
21:17:56.361 > -1250,-1282
21:17:56.361 > -1271,-1264
21:17:56.361 > -1253,-1206
21:17:56.361 > -1171,-1058
21:17:56.361 > -1041,-890
21:17:56.361 > -891,-719
21:17:56.361 > -698,-428
21:17:56.372 > -454,-207
21:17:56.372 > -205,49
21:17:56.372 > 37,300
21:17:56.372 > 302,546
21:17:56.372 > 540,747
21:17:56.372 > 777,967
21:17:56.372 > 970,1094
21:17:56.372 > 1103,1188
21:17:56.372 > 1210,1278
21:17:56.372 > 1263,1248
21:17:56.372 > 1273,1217
21:17:56.372 > 1231,1149
21:17:56.372 > 1147,1005
21:17:56.372 > 1000,825
21:17:56.383 > 814,619
21:17:56.383 > 603,368
21:17:56.383 > 357,70
21:17:56.383 > 109,-140
21:17:56.383 > -134,-403
21:17:56.383 > -379,-618
21:17:56.383 > -627,-839
21:17:56.383 > -833,-1023
21:17:56.383 > -1003,-1182
21:17:56.383 > -1139,-1241
21:17:56.383 > -1234,-1296
21:17:56.383 > -1286,-1314
21:17:56.383 > -1272,-1218
21:17:56.395 > -1199,-1126
21:17:56.395 > -1081,-938
21:17:56.395 > -928,-737
21:17:56.395 > -729,-483
21:17:56.395 > -494,-273
21:17:56.395 > -241,-2
21:17:56.395 > 2,232
21:17:56.395 > 237,457
21:17:56.395 > 477,679
21:17:56.395 > 716,907
21:17:56.395 > 925,1077
21:17:56.395 > 1079,1206
21:17:56.395 > 1206,1265
21:17:56.406 > 1281,1254
21:17:56.406 > 1293,1259
21:17:56.406 > 1249,1165
21:17:56.406 > 1166,1015
21:17:56.406 > 1035,853
21:17:56.406 > 869,655
